,p1,p2,edge_weight
230,21726,12038,1
231,21726,12993,1
232,21726,18339,1
233,21755,20062,1
234,21791,13162,1
235,21831,21488,1
236,21897,13765,1
237,21927,2084,1
238,21927,13458,1
239,21961,21726,1
240,22019,19240,1
241,22044,12252,1
242,22099,4194,1
243,22124,556,1
244,22124,3791,1
245,22212,11083,1
246,22221,20098,1
247,22444,9098,1
248,22606,17290,1
249,22616,13233,1
250,22643,13879,1
251,22837,1979,1
252,22886,10309,1
253,22886,21394,1
254,23111,8043,1
255,23310,9523,1
256,23310,12088,1
257,23376,10593,1
258,23376,11173,1
259,23376,20293,1
260,23424,3170,1
261,23472,9383,1
262,23478,5314,1
263,23478,16793,1
264,23478,21478,1
265,23535,9512,1
266,23548,21439,1
267,23556,5933,1
268,23562,19032,1
269,23711,985,1
270,23711,5773,1
271,23964,12280,1
272,24069,10068,1
273,24147,6525,1
274,24147,11266,1
275,24248,23424,1
276,24364,16867,1
277,24463,5048,1
278,24463,17769,1
279,24543,10195,1
280,24543,11909,1
281,24682,9806,1
282,24682,14198,1
283,24814,10902,1
284,24814,20599,1
285,24830,21961,1
286,24859,22886,1
287,24860,5582,1
288,24860,7010,1
289,24860,11413,1
290,24916,22099,1
291,25011,3903,1
292,25011,12993,1
293,25097,1133,1
294,25097,4452,1
295,25202,5773,1
296,25224,7163,1
297,25224,20669,1
298,25389,24069,1
299,25457,5268,1
300,25519,8733,1
301,25553,2532,1
302,25621,4557,1
303,25621,14529,1
304,25683,15333,1
305,25709,5139,1
306,25755,16163,1
307,25755,24265,1
308,25877,16342,1
309,25877,21230,1
310,26094,9114,1
311,26104,20220,1
312,26104,23424,1
313,26104,24248,1
314,26163,7737,1
315,26176,16867,1
316,26176,18770,1
317,26176,24364,1
318,26194,2532,1
319,26235,15661,1
320,26240,20967,1
321,26409,15497,1
322,26409,17984,1
323,26424,20062,1
324,26449,10653,1
325,26463,5635,1
326,26538,4323,1
327,26538,12236,1
328,26653,19980,1
329,26656,22019,1
330,26717,9736,1
331,26766,12157,1
332,26814,4532,1
333,26852,5732,1
334,26872,8043,1
335,26872,19113,1
336,26872,23111,1
337,26878,10844,1
338,26927,10305,1
339,26927,23376,1
340,26931,4452,1
341,26939,8416,1
342,26959,7741,1
343,26959,8690,1
344,26959,19860,1
345,26981,24860,1
346,26981,25237,1
347,27060,11266,1
348,27060,17950,1
349,27060,26717,1
350,27102,16434,1
351,27112,823,1
352,27112,3865,1
353,27158,7455,1
354,27158,11670,1
355,27366,9781,1
356,27511,5423,1
357,27576,17586,1
358,27576,19075,1
359,27576,27323,1
360,27579,4178,1
361,27596,7040,1
362,27596,19706,1
363,27651,15528,1
364,27651,20394,1
365,27712,4532,1
366,27712,26814,1
367,27761,8037,1
368,27761,13879,1
369,27761,19307,1
370,28029,6710,1
371,28029,27429,1
372,28165,20669,1
373,28184,4861,1
374,28211,21935,1
375,28231,17006,1
376,28350,12038,1
377,28350,21726,1
378,28350,21961,1
379,28366,10535,1
380,28470,6419,1
381,28470,22044,1
382,28526,5210,1
383,28540,7099,1
384,28577,11485,1
385,28577,22204,1
386,28653,17243,1
387,28678,7726,1
388,28678,21935,1
389,28678,26927,1
390,28883,13295,1
391,28896,21987,1
392,29187,11443,1
393,29212,3654,1
394,29233,3130,1
395,29242,8416,1
396,29242,14666,1
397,29289,10969,1
398,29317,9680,1
399,29321,25987,1
400,29356,17936,1
401,29356,22417,1
402,29392,985,1
403,29431,20979,1
404,29505,18216,1
405,29505,20849,1
406,29510,15804,1
407,29520,24916,1
408,29609,12038,1
409,29609,21299,1
410,29609,21961,1
411,29609,28350,1
412,29638,22886,1
413,29768,7341,1
414,29778,11048,1
415,29791,8178,1
416,29843,1501,1
417,29899,10846,1
418,29903,3506,1
419,29963,7994,1
420,30003,16163,1
421,30062,20098,1
422,30191,25389,1
423,30244,10771,1
424,30254,8637,1
425,30254,9769,1
426,30265,20669,1
427,30292,3654,1
428,30292,9011,1
429,30292,27712,1
430,30311,3321,1
431,30319,22444,1
432,30367,5837,1
433,30378,1431,1
434,30378,21379,1
435,30497,1083,1
436,30497,9421,1
437,30645,3777,1
438,30645,13389,1
439,30685,20556,1
440,30748,5423,1
441,30748,9769,1
442,30748,10068,1
443,30814,21439,1
444,30814,21445,1
445,30814,21961,1
446,30920,6377,1
447,30985,16999,1
448,30995,5423,1
449,30995,10162,1
450,31001,4673,1
451,31001,5334,1
452,31011,17752,1
453,31011,21813,1
454,31077,16130,1
455,31077,29903,1
456,31097,28304,1
457,31300,19097,1
458,31388,3865,1
459,31388,17020,1
460,31478,19360,1
461,31478,29936,1
462,31498,25237,1
463,31499,23548,1
464,31499,30814,1
465,31606,2673,1
466,31606,18570,1
467,31713,8585,1
468,31713,17221,1
469,31713,24715,1
470,32012,16210,1
471,32015,16248,1
472,32015,29356,1
473,32037,12993,1
474,32037,13939,1
475,32037,25011,1
476,32113,3200,1
477,32113,5423,1
478,32113,15323,1
479,32113,16340,1
480,32169,1867,1
481,32169,20669,1
482,32169,25224,1
483,32208,6363,1
484,32314,12252,1
485,32314,22044,1
486,32314,28470,1
487,32322,7367,1
488,32361,4451,1
489,32396,19860,1
490,32396,26959,1
491,32556,12751,1
492,32686,11377,1
493,32686,14529,1
494,32686,25621,1
495,32687,9602,1
496,32727,12268,1
497,32747,12329,1
498,32926,12032,1
499,32926,31606,1
500,32932,9235,1
501,32932,23604,1
502,32932,26766,1
503,32980,9421,1
504,32980,11078,1
505,32980,30497,1
506,33079,29541,1
507,33117,27511,1
508,33332,15914,1
509,33453,15435,1
510,33722,11078,1
511,33726,12252,1
512,33726,25466,1
513,33801,18167,1
514,33801,19489,1
515,33845,28655,1
516,33845,32661,1
517,33868,27429,1
518,33868,28029,1
519,33900,16251,1
520,33900,19097,1
521,33900,20599,1
522,33912,3103,1
523,33978,27429,1
524,34005,31943,1
525,34011,2196,1
526,34011,32249,1
527,34016,29718,1
528,34122,5495,1
529,34122,29510,1
530,34122,34010,1
531,34205,34005,1
532,34221,22606,1
533,34275,16358,1
534,34319,21041,1
535,34338,18558,1
536,34339,23205,1
537,34450,27579,1
538,34450,32322,1
539,34580,5495,1
540,34589,15175,1
541,34605,13458,1
542,34605,19674,1
543,34605,21927,1
544,34605,29778,1
545,34656,3357,1
546,34656,8733,1
547,34656,11507,1
548,34656,33868,1
549,34675,350,1
550,34751,5696,1
551,34751,16478,1
552,34751,21072,1
553,34831,20910,1
554,34944,14501,1
555,34946,16305,1
556,34946,23385,1
557,34952,17326,1
558,34952,18926,1
559,34986,33017,1
560,35044,2673,1
561,35044,18570,1
562,35044,24867,1
563,35044,31606,1
564,35044,32926,1
565,35052,988,1
566,35052,30489,1
567,35075,5314,1
568,35075,16096,1
569,35076,16210,1
570,35164,22250,1
571,35170,3665,1
572,35170,16248,1
573,35189,18869,1
574,35189,19171,1
575,35246,15289,1
576,35259,13295,1
577,35296,991,1
578,35315,564,1
579,35315,3200,1
580,35315,16340,1
581,35315,17669,1
582,35416,15333,1
583,35458,10715,1
584,35458,22212,1
585,35459,19896,1
586,35467,17421,1
587,35469,5717,1
588,35487,23385,1
589,35487,32727,1
590,35523,30291,1
591,35523,34343,1
592,35537,4155,1
593,35537,11113,1
594,35542,16916,1
595,35739,22630,1
596,35750,7526,1
597,35750,7737,1
598,35771,8832,1
599,35816,9114,1
600,35816,18618,1
601,35816,21445,1
602,35847,22076,1
603,35864,17397,1
604,35864,33726,1
605,35925,5607,1
606,35925,9769,1
607,35925,15048,1
608,36012,16234,1
609,36129,887,1
610,36129,11781,1
611,36139,991,1
612,36139,11714,1
613,36184,4518,1
614,36184,10933,1
615,36232,10288,1
616,36232,33912,1
617,36262,2584,1
618,36262,5272,1
619,36277,7913,1
620,36277,16210,1
621,36277,16305,1
622,36277,23556,1
623,36290,15390,1
624,36292,20950,1
625,36406,7737,1
626,36406,15274,1
627,36426,19240,1
628,36426,22019,1
629,36444,26463,1
630,36444,27182,1
631,36473,17290,1
632,36473,23685,1
633,36490,10183,1
634,36490,12464,1
635,36490,27596,1
636,36490,28313,1
637,36505,17913,1
638,36505,31011,1
639,36505,35487,1
640,36563,5210,1
641,36563,9874,1
642,36563,10148,1
643,36600,3797,1
644,36683,21961,1
645,36683,35113,1
646,36738,8733,1
647,36854,12369,1
648,36854,23685,1
649,36938,30378,1
650,36938,31963,1
651,36939,3240,1
652,36939,11587,1
653,36940,20763,1
654,37039,21379,1
655,37039,30378,1
656,37065,24682,1
657,37067,29007,1
658,37088,10715,1
659,37088,34699,1
660,37398,13275,1
661,37398,36184,1
662,37417,16881,1
663,37500,17936,1
664,37500,21439,1
665,37500,31499,1
666,37522,20912,1
667,37578,6710,1
668,37578,28029,1
669,37578,33868,1
670,37592,22059,1
671,37608,15711,1
672,37616,23292,1
673,37616,32037,1
674,37643,103,1
675,37643,4214,1
676,37643,34010,1
677,37643,34122,1
678,37673,30603,1
679,37692,825,1
680,37709,30920,1
681,37729,19980,1
682,37795,26104,1
683,37935,350,1
684,37935,17624,1
685,37935,37616,1
686,38036,36002,1
687,38051,15914,1
688,38051,33332,1
689,38097,23535,1
690,38127,11781,1
691,38127,18168,1
692,38127,28576,1
693,38128,22255,1
694,38170,4557,1
695,38170,25621,1
696,38170,32686,1
697,38187,9769,1
698,38187,14778,1
699,38187,35739,1
700,38439,24501,1
701,38492,29289,1
702,38492,36738,1
703,38499,11266,1
704,38499,18223,1
705,38557,4336,1
706,38557,11245,1
707,38615,6419,1
708,38615,15773,1
709,38615,28470,1
710,38660,29768,1
711,38708,31397,1
712,38852,9781,1
713,38852,19524,1
714,39017,421,1
715,39022,421,1
716,39022,20308,1
717,39022,39017,1
718,39032,24265,1
719,39032,25755,1
720,39098,24715,1
721,39165,9114,1
722,39165,13274,1
723,39165,37592,1
724,39172,10443,1
725,39274,2588,1
726,39274,16340,1
727,39274,17669,1
728,39317,3777,1
729,39317,13389,1
730,39362,37159,1
731,39362,39165,1
732,39428,34685,1
733,39468,26240,1
734,39472,13031,1
735,39472,22143,1
736,39472,37709,1
737,39588,25097,1
738,39628,7994,1
739,39628,10579,1
740,39760,18691,1
741,39760,22059,1
742,39760,27158,1
743,39885,22220,1
744,39891,10579,1
745,39891,29963,1
746,39891,39628,1
747,40024,15773,1
748,40113,6363,1
749,40223,4336,1
750,40267,3865,1
751,40267,27112,1
752,40267,30191,1
753,40382,19307,1
754,40382,27761,1
755,40382,35542,1
756,40384,38708,1
757,40410,18168,1
758,40410,38127,1
759,40411,15175,1
760,40411,34589,1
761,40448,1083,1
762,40448,20489,1
763,40448,22250,1
764,40452,35467,1
765,40562,9966,1
766,40562,11587,1
767,40591,34820,1
768,40633,8832,1
769,40641,13295,1
770,40641,28883,1
771,40675,5423,1
772,40727,30603,1
773,40744,10333,1
774,40796,7726,1
775,40796,12236,1
776,40855,19360,1
777,40893,10579,1
778,40914,12038,1
779,40914,21726,1
780,40914,21961,1
781,40914,28350,1
782,40914,29609,1
783,40971,10121,1
784,40971,15323,1
785,41014,15675,1
786,41041,5701,1
787,41066,15356,1
788,41066,38128,1
789,41096,18268,1
790,41123,5496,1
791,41123,20849,1
792,41145,22444,1
793,41145,30319,1
794,41308,9512,1
795,41308,34016,1
796,41308,40842,1
797,41367,9837,1
798,41367,16196,1
799,41367,28896,1
800,41488,1477,1
801,41531,9523,1
802,41531,12088,1
803,41531,23310,1
804,41531,27366,1
805,41601,9806,1
806,41601,25466,1
807,41601,33726,1
808,41645,15435,1
809,41645,17752,1
810,41645,33453,1
811,41700,1022,1
812,41700,8634,1
813,41722,4384,1
814,41722,12327,1
815,41722,28304,1
816,41796,5717,1
817,41796,13359,1
818,41852,2207,1
819,41900,11587,1
820,41900,17808,1
821,41930,13220,1
822,41930,34010,1
823,41939,34591,1
824,41995,3296,1
825,41995,23701,1
826,42110,11670,1
827,42110,12893,1
828,42177,11507,1
829,42177,28029,1
830,42265,16683,1
831,42265,34177,1
832,42303,16881,1
833,42324,20117,1
834,42324,26596,1
835,42334,20078,1
836,42334,25389,1
837,42347,19161,1
838,42534,11646,1
839,42540,3665,1
840,42558,39181,1
841,42574,16196,1
842,42574,18519,1
843,42591,16163,1
844,42591,22059,1
845,42614,16163,1
846,42614,22886,1
847,42614,23292,1
848,42614,36277,1
849,42630,9112,1
850,42686,9662,1
851,42686,20117,1
852,42688,26094,1
853,42761,9519,1
854,42814,34589,1
855,42830,8637,1
856,42830,16418,1
857,42830,26931,1
858,42830,40971,1
859,42842,2103,1
860,42842,11113,1
861,42842,24859,1
862,42866,34794,1
863,42899,11048,1
864,43070,4673,1
865,43170,13591,1
866,43170,26927,1
867,43170,28678,1
868,43195,22643,1
869,43277,602,1
870,43277,26717,1
871,43348,11083,1
872,43348,15048,1
873,43348,18780,1
874,43348,22212,1
875,43352,2606,1
876,43352,4535,1
877,43352,19674,1
878,43370,15274,1
879,43407,5717,1
880,43407,18570,1
881,43428,9601,1
882,43429,11714,1
883,43445,669,1
884,43445,36292,1
885,43476,19997,1
886,43476,32980,1
887,43595,28576,1
888,43622,29541,1
889,43751,4451,1
890,43751,7010,1
891,43751,32361,1
892,43762,38127,1
893,43762,40410,1
894,43815,3903,1
895,43815,4384,1
896,43815,12327,1
897,43815,41722,1
898,43830,8832,1
899,43850,42652,1
900,43864,7726,1
901,43864,11173,1
902,43920,32314,1
903,43927,30062,1
904,43927,36939,1
905,43928,36600,1
906,43990,33845,1
907,44011,3240,1
908,44048,10198,1
909,44048,27060,1
910,44134,3479,1
911,44134,5732,1
912,44134,20014,1
913,44134,25069,1
914,44226,1996,1
915,44226,3321,1
916,44234,38982,1
917,44234,43070,1
918,44262,40675,1
919,44321,25683,1
920,44321,33801,1
921,44330,19366,1
922,44330,20556,1
923,44330,30685,1
924,44353,25926,1
925,44353,44234,1
926,44412,23424,1
927,44412,37795,1
928,44459,8637,1
929,44459,9769,1
930,44459,30254,1
931,44459,42830,1
932,44511,9114,1
933,44511,18618,1
934,44511,29638,1
935,44511,35816,1
936,44527,3504,1
937,44527,6420,1
938,44527,10902,1
939,44693,28991,1
940,44877,2084,1
941,44877,11048,1
942,44877,12329,1
943,44877,21927,1
944,44888,43815,1
945,44918,44011,1
946,45173,36835,1
947,45173,41488,1
948,45174,9736,1
949,45174,14881,1
950,45174,19240,1
951,45174,36426,1
952,45195,15289,1
953,45326,13971,1
954,45326,38409,1
955,45353,1715,1
956,45397,20810,1
957,45397,23273,1
958,45491,17609,1
959,45554,36467,1
960,45614,22076,1
961,45614,43864,1
962,45637,12893,1
963,45639,21299,1
964,45647,30378,1
965,45647,37039,1
966,45647,42630,1
967,45714,8832,1
968,45725,9806,1
969,45725,25466,1
970,45725,33726,1
971,45725,41601,1
972,45742,30291,1
973,45793,5496,1
974,45793,12464,1
975,45793,13389,1
976,45793,16219,1
977,45793,30645,1
978,45793,39317,1
979,45956,13162,1
980,45956,31189,1
981,46005,11634,1
982,46005,20506,1
983,46029,3207,1
984,46029,38439,1
985,46067,45353,1
986,46167,10162,1
987,46167,15048,1
988,46167,30995,1
989,46169,5809,1
990,46169,10121,1
991,46169,21080,1
992,46174,45647,1
993,46201,9008,1
994,46242,36139,1
995,46242,38499,1
996,46315,31128,1
997,46332,16058,1
998,46348,23701,1
999,46373,10770,1
1000,46570,11533,1
1001,46570,43352,1
1002,46729,31128,1
1003,46729,46315,1
1004,46815,28585,1
1005,46815,43407,1
1006,46859,23711,1
1007,46994,11377,1
1008,47116,3435,1
1009,47116,16998,1
1010,47178,36860,1
1011,47180,39742,1
1012,47182,679,1
1013,47182,44888,1
1014,47240,4583,1
1015,47263,10288,1
1016,47263,10369,1
1017,47263,36232,1
1018,47323,5809,1
1019,47323,17020,1
1020,47323,46169,1
1021,47334,33332,1
1022,47349,1623,1
1023,47383,26852,1
1024,47420,14967,1
1025,47420,46005,1
1026,47423,35467,1
1027,47423,40452,1
1028,47456,10771,1
1029,47456,30244,1
1030,47496,29936,1
1031,47527,9890,1
1032,47527,22630,1
1033,47527,35925,1
1034,47543,34450,1
1035,47608,21777,1
1036,47613,4423,1
1037,47613,8890,1
1038,47613,34656,1
1039,47657,34751,1
1040,47705,19696,1
1041,47745,16881,1
1042,47757,10162,1
1043,47757,15048,1
1044,47757,30995,1
1045,47757,46167,1
1046,47771,37616,1
1047,47784,23755,1
1048,47919,3455,1
1049,47919,32249,1
1050,47919,34011,1
1051,47977,1083,1
1052,47977,16867,1
1053,47977,40448,1
1054,48034,23755,1
1055,48034,37608,1
1056,48116,15709,1
1057,48116,33079,1
1058,48125,16305,1
1059,48160,24501,1
1060,48185,40267,1
1061,48274,30062,1
1062,48274,43927,1
1063,48311,23562,1
1064,48342,22497,1
1065,48355,27511,1
1066,48368,34338,1
1067,48370,17020,1
1068,48437,9890,1
1069,48437,15333,1
1070,48437,22630,1
1071,48437,47527,1
1072,48524,8861,1
1073,48580,25553,1
1074,48631,9851,1
1075,48631,24830,1
1076,48657,32846,1
1077,48657,38036,1
1078,48676,2992,1
1079,48676,6279,1
1080,48676,21192,1
1081,48736,26959,1
1082,48736,28313,1
1083,48736,36490,1
1084,48761,35542,1
1085,48793,39317,1
1086,48805,30489,1
1087,48805,35052,1
1088,48847,26927,1
1089,48860,15060,1
1090,48860,46201,1
1091,48860,46729,1
1092,48952,5048,1
1093,48952,33417,1
1094,48980,538,1
1095,48980,40842,1
1096,49048,5334,1
1097,49048,31001,1
1098,49048,44353,1
1099,49080,30685,1
1100,49080,48950,1
1101,49173,5362,1
1102,49186,13233,1
1103,49186,17370,1
1104,49186,22616,1
1105,49237,9724,1
1106,49237,18769,1
1107,49237,35469,1
1108,49242,3356,1
1109,49242,34685,1
1110,49242,48580,1
1111,49267,10443,1
1112,49267,18926,1
1113,49267,25417,1
1114,49337,43655,1
1115,49360,10405,1
1116,49512,4242,1
1117,49512,6420,1
1118,49512,18216,1
1119,49512,31397,1
1120,49512,44527,1
1121,49513,18796,1
1122,49521,16226,1
1123,49521,31478,1
1124,49522,40410,1
1125,49522,43762,1
1126,49558,7367,1
1127,49558,8691,1
1128,49558,24952,1
1129,49561,15265,1
1130,49561,20556,1
1131,49667,852,1
1132,49667,4459,1
1133,49667,6681,1
1134,49667,21266,1
1135,49667,31388,1
1136,49832,11670,1
1137,50050,18168,1
1138,50050,28576,1
1139,50050,43595,1
1140,50113,14501,1
1141,50113,16234,1
1142,50113,34944,1
1143,50113,36012,1
1144,50120,34010,1
1145,50120,34122,1
1146,50120,37643,1
1147,50145,10593,1
1148,50150,19522,1
1149,50169,350,1
1150,50169,27158,1
1151,50169,37935,1
1152,50183,5717,1
1153,50183,19075,1
1154,50191,29936,1
1155,50191,31478,1
1156,50191,47496,1
1157,50206,503,1
1158,50206,2821,1
1159,50206,9519,1
1160,50217,10369,1
1161,50257,1997,1
1162,50257,11909,1
1163,50257,24543,1
1164,50408,20117,1
1165,50408,42324,1
1166,50430,9473,1
1167,50447,4451,1
1168,50557,3587,1
1169,50565,18268,1
1170,50565,41096,1
1171,50651,34986,1
1172,50695,7097,1
1173,50695,20237,1
1174,50695,27182,1
1175,50701,9537,1
1176,50701,11831,1
1177,50726,8037,1
1178,50726,13606,1
1179,50726,18223,1
1180,50726,27761,1
1181,50773,7741,1
1182,50773,8690,1
1183,50773,26959,1
1184,50827,4452,1
1185,50827,10121,1
1186,50827,26931,1
1187,50859,2588,1
1188,50859,17669,1
1189,50859,39274,1
1190,50875,503,1
1191,50875,9519,1
1192,50875,24501,1
1193,50875,42761,1
1194,50946,9780,1
1195,50946,20763,1
1196,50946,36940,1
1197,50946,37065,1
1198,50946,39472,1
1199,51009,16683,1
1200,51009,28966,1
1201,51009,35816,1
1202,51009,44511,1
1203,51100,9519,1
1204,51100,43622,1
1205,51164,19097,1
1206,51164,33900,1
1207,51189,10288,1
1208,51189,36232,1
1209,51201,19366,1
1210,51201,44330,1
1211,51201,49080,1
1212,51264,30265,1
1213,51310,10183,1
1214,51310,36490,1
1215,51310,48736,1
1216,51355,11084,1
1217,51355,21041,1
1218,51364,12054,1
1219,51364,50773,1
1220,51417,31156,1
1221,51417,34986,1
1222,51513,15333,1
1223,51513,31156,1
1224,51513,35416,1
1225,51540,28304,1
1226,51540,31097,1
1227,51565,20394,1
1228,51565,30540,1
1229,51565,42652,1
1230,51630,22019,1
1231,51630,36426,1
1232,51770,51100,1
1233,51777,825,1
1234,51777,37692,1
1235,51781,9851,1
1236,51781,46433,1
1237,51781,48631,1
1238,51781,49832,1
1239,51796,20220,1
1240,51796,26104,1
1241,51813,29505,1
1242,51814,2018,1
1243,51814,45488,1
1244,51840,3777,1
1245,51840,13389,1
1246,51840,30645,1
1247,51840,39317,1
1248,51840,45793,1
1249,51844,421,1
1250,51844,2551,1
1251,51844,39017,1
1252,51844,41900,1
1253,51862,2992,1
1254,51862,5745,1
1255,51951,1376,1
1256,52027,13359,1
1257,52027,21831,1
1258,52027,41796,1
1259,52102,21230,1
1260,52115,5495,1
1261,52115,29510,1
1262,52115,34122,1
1263,52194,18268,1
1264,52194,36860,1
1265,52194,47178,1
1266,52196,32556,1
1267,52197,5496,1
1268,52197,41123,1
1269,52197,47745,1
1270,52246,13162,1
1271,52246,42652,1
1272,52246,43850,1
1273,52249,18402,1
1274,52249,29187,1
1275,52249,42303,1
1276,52272,36467,1
1277,52308,9235,1
1278,52308,12157,1
1279,52308,16998,1
1280,52308,26766,1
1281,52392,10443,1
1282,52392,25417,1
1283,52392,43277,1
1284,52392,49267,1
1285,52434,35060,1
1286,52445,3207,1
1287,52445,11814,1
1288,52445,46029,1
1289,52545,37673,1
1290,52545,51813,1
1291,52549,29284,1
1292,52549,44918,1
1293,52574,7920,1
1294,52574,45161,1
1295,52611,6869,1
1296,52612,41066,1
1297,52627,24463,1
1298,52627,40727,1
1299,52647,8832,1
1300,52647,40633,1
1301,52647,45714,1
1302,52688,4323,1
1303,52688,12252,1
1304,52688,26538,1
1305,52718,35113,1
1306,52746,25683,1
1307,52746,38660,1
1308,52961,6681,1
1309,52961,19160,1
1310,52964,8009,1
1311,52964,16342,1
1312,52970,35406,1
1313,52994,17323,1
1314,52994,28966,1
1315,53006,24791,1
1316,53006,25005,1
1317,53096,9008,1
1318,53096,46201,1
1319,53096,48860,1
1320,53150,2945,1
1321,53150,50946,1
1322,53161,1996,1
1323,53161,3321,1
1324,53161,19805,1
1325,53161,44226,1
1326,53166,1384,1
1327,53166,1431,1
1328,53190,50080,1
1329,53204,9011,1
1330,53204,10867,1
1331,53204,30292,1
1332,53252,8831,1
1333,53252,15060,1
1334,53252,42764,1
1335,53371,9421,1
1336,53371,30497,1
1337,53371,48960,1
1338,53485,20030,1
1339,53504,8690,1
1340,53564,10338,1
1341,53564,18558,1
1342,53597,2103,1
1343,53597,17913,1
1344,53622,29549,1
1345,53690,25453,1
1346,53690,25683,1
1347,53765,103,1
1348,53765,15390,1
1349,53765,34580,1
1350,53765,36290,1
1351,53765,37643,1
1352,53770,18770,1
1353,53770,26939,1
1354,53785,10338,1
1355,53785,18558,1
1356,53785,34338,1
1357,53963,41645,1
1358,54005,2584,1
1359,54005,5272,1
1360,54005,18167,1
1361,54005,44412,1
1362,54029,9967,1
1363,54029,46315,1
1364,54032,9724,1
